"#","Name","Type 1","Type 2","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary"
"1","Bulbasaur","Grass","Poison","45","49","49","65","65","45","1","False"
"2","Ivysaur","Grass","Poison","60","62","63","80","80","60","1","False"
"3","Venusaur","Grass","Poison","80","82","83","100","100","80","1","False"
"3","VenusaurMega Venusaur","Grass","Poison","80","100","123","122","120","80","1","False"
"6","Charizard","Fire","Flying","78","84","78","109","85","100","1","False"
"6","CharizardMega Charizard X","Fire","Dragon","78","130","111","130","85","100","1","False"
"6","CharizardMega Charizard Y","Fire","Flying","78","104","78","159","115","100","1","False"
"12","Butterfree","Bug","Flying","60","45","50","90","80","70","1","False"
"13","Weedle","Bug","Poison","40","35","30","20","20","50","1","False"
"14","Kakuna","Bug","Poison","45","25","50","25","25","35","1","False"
"15","Beedrill","Bug","Poison","65","90","40","45","80","75","1","False"
"15","BeedrillMega Beedrill","Bug","Poison","65","150","40","15","80","145","1","False"
"16","Pidgey","Normal","Flying","40","45","40","35","35","56","1","False"
"17","Pidgeotto","Normal","Flying","63","60","55","50","50","","1","False"
"18","Pidgeot","Normal","Flying","83","80","75","70","70","101","1","False"
"18","PidgeotMega Pidgeot","Normal","Flying","83","80","80","135","80","121","1","False"
"21","Spearow","Normal","Flying","40","60","30","31","31","70","1","False"
"22","Fearow","Normal","Flying","65","90","65","61","61","100","1","False"
"31","Nidoqueen","Poison","Ground","90","92","87","75","85","76","1","False"
"34","Nidoking","Poison","Ground","81","102","77","85","75","85","1","False"
"39","Jigglypuff","Normal","Fairy","115","45","20","45","25","20","1","False"
"40","Wigglytuff","Normal","Fairy","140","70","45","85","50","45","1","False"
"41","Zubat","Poison","Flying","40","45","35","30","40","55","1","False"
"42","Golbat","Poison","Flying","75","80","70","65","75","90","1","False"
"43","Oddish","Grass","Poison","45","50","55","75","65","","1","False"
"44","Gloom","Grass","Poison","60","65","70","85","75","40","1","False"
"45","Vileplume","Grass","Poison","75","80","85","110","90","50","1","False"
"46","Paras","Bug","Grass","35","70","55","45","55","25","1","False"
"47","Parasect","Bug","Grass","60","95","80","60","80","30","1","False"
"48","Venonat","Bug","Poison","60","55","50","40","55","45","1","False"
"49","Venomoth","Bug","Poison","70","65","60","90","75","90","1","False"
"62","Poliwrath","Water","Fighting","90","95","95","70","90","70","1","False"
"69","Bellsprout","Grass","Poison","50","75","35","70","30","","1","False"
"70","Weepinbell","Grass","Poison","65","90","50","85","45","55","1","False"
"71","Victreebel","Grass","Poison","80","105","65","100","70","70","1","False"
"72","Tentacool","Water","Poison","40","40","35","50","100","70","1","False"
"73","Tentacruel","Water","Poison","80","70","65","80","120","100","1","False"
"74","Geodude","Rock","Ground","40","80","100","30","30","20","1","False"
"75","Graveler","Rock","Ground","55","95","115","45","45","35","1","False"
"76","Golem","Rock","Ground","80","120","130","55","65","45","1","False"
"79","Slowpoke","Water","Psychic","90","65","65","40","40","15","1","False"
"80","Slowbro","Water","Psychic","95","75","110","100","80","30","1","False"
"80","SlowbroMega Slowbro","Water","Psychic","95","75","180","130","80","30","1","False"
"81","Magnemite","Electric","Steel","25","35","70","95","55","45","1","False"
"82","Magneton","Electric","Steel","50","60","95","120","70","70","1","False"
"83","Farfetch'd","Normal","Flying","52","65","55","58","62","60","1","False"
"84","Doduo","Normal","Flying","35","85","45","35","35","75","1","False"
"85","Dodrio","Normal","Flying","60","110","70","60","60","100","1","False"
"87","Dewgong","Water","Ice","90","70","80","70","95","","1","False"
"91","Cloyster","Water","Ice","50","95","180","85","45","70","1","False"
"92","Gastly","Ghost","Poison","30","35","30","100","35","80","1","False"
"93","Haunter","Ghost","Poison","45","50","45","115","55","95","1","False"
"94","Gengar","Ghost","Poison","60","65","60","130","75","110","1","False"
"94","GengarMega Gengar","Ghost","Poison","60","65","80","170","95","130","1","False"
"95","Onix","Rock","Ground","35","45","160","30","45","70","1","False"
"102","Exeggcute","Grass","Psychic","60","40","80","60","45","40","1","False"
"103","Exeggutor","Grass","Psychic","95","95","85","125","65","55","1","False"
"111","Rhyhorn","Ground","Rock","80","85","95","30","30","25","1","False"
"112","Rhydon","Ground","Rock","105","130","120","45","45","40","1","False"
"121","Starmie","Water","Psychic","60","75","85","100","85","115","1","False"
